site	species	year	date	individual	period	subindividual	flower	pollinaria_removed	pollen_on_stigma	herbivory	recorder	writer	notes	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	20	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	21	NA	NA	1	0	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	21	NA	NA	2	1	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	21	NA	NA	3	1	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	21	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	21	NA	NA	5	0	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	22	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	22	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	22	NA	NA	3	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	22	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	22	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	23	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	23	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	23	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	23	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	23	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	24	NA	NA	1	0	0	0	CRO	OO	white_flowers	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	24	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	24	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	24	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	24	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	25	NA	NA	1	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	25	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	25	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	25	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	25	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	26	NA	NA	1	2	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	26	NA	NA	2	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	26	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	26	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	26	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	27	NA	NA	1	0	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	27	NA	NA	2	2	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	27	NA	NA	3	0	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	27	NA	NA	4	0	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	27	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	28	NA	NA	1	1	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	28	NA	NA	2	2	1	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	28	NA	NA	3	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	28	NA	NA	4	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	28	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	29	NA	NA	1	0	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	29	NA	NA	2	2	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	29	NA	NA	3	1	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	29	NA	NA	4	0	0	NA	MH	PJ	plant_eaten_by_slugs	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	29	NA	NA	5	0	0	NA	MH	PJ	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	30	NA	NA	1	0	0	NA	MH	PJ	NA	
