site	species	year	date	individual	subindividual	patch	period	height_cm	flowers_open	flowers_bud	corolla_height_mm	lip_width_mm	flower_size_mm	spur_length_mm	spur_width_mm	recorder	writer	notes	fruit_number	fruits_small	fruit_notes	Flower_damage	Spur_damage						
Oerup	Orchis_mascula	2021	20.5.2021	27	NA	A	NA	12.70	8	0	11.86	7.46	NA	11.43	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	28	NA	A	NA	10.80	5	1	13.72	7.86	NA	9.22	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	29	NA	A	NA	24.40	29	0	15.13	10.81	NA	12.57	NA	Jule	Jule	flower_damage_(2)	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	30	NA	A	NA	21.00	12	1	13.32	11.03	NA	14.20	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	31	NA	A	NA	13.50	4	0	12.46	9.08	NA	17.18	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	32	NA	A	NA	13.20	7	0	15.32	9.98	NA	12.16	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	33	NA	A	NA	16.60	13	1	10.55	10.39	NA	14.06	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	34	NA	A	NA	20.00	12	1	12.96	12.31	NA	14.39	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	35	NA	A	NA	13.40	6	0	10.90	7.02	NA	7.94	NA	Jule	Jule	1_aborted_flower_flower_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	36	NA	A	NA	11.90	7	0	12.70	7.95	NA	12.08	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	37	NA	A	NA	15.70	11	0	11.66	9.50	NA	9.48	NA	Jule	Jule	2_aborted_flowers	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	38	NA	A	NA	13.40	9	1	13.70	8.50	NA	10.62	NA	Jule	Jule	1_aborted_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	39	NA	A	NA	21.90	15	0	14.72	12.39	NA	11.01	NA	Jule	Jule	spur_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	40	NA	A	NA	22.00	15	0	13.77	10.21	NA	10.93	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	41	NA	A	NA	18.40	8	1	10.58	11.69	NA	15.06	NA	Jule	Jule	1_aborted_flower_2_flowers_eaten_	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	42	NA	A	NA	21.80	16	0	15.13	11.20	NA	12.14	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	43	NA	A	NA	26.10	14	0	16.48	10.72	NA	13.41	NA	Jule	Jule	flower_damage_on_lowest_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	44	NA	B	NA	27.80	13	1	18.13	11.04	NA	13.70	NA	Camille	Camille	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	45	NA	B	NA	41.50	34	0	21.02	13.15	NA	15.73	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	46	NA	B	NA	24.90	12	1	16.10	10.13	NA	13.75	NA	Camille	Camille	stem_broken	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	47	NA	B	NA	23.80	15	1	15.80	12.83	NA	13.35	NA	Jule	Jule	flower_damage_on_lowest_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	48	NA	B	NA	19.40	5	1	13.02	12.30	NA	13.67	NA	Camille	Camille	3_flowers_aborted_and_2_damaged	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	49	NA	B	NA	36.40	25	0	12.70	11.66	NA	13.70	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	50	NA	B	NA	29.30	23	1	14.30	12.04	NA	13.06	NA	Camille	Patito	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	51	NA	B	NA	21.30	13	0	16.96	10.84	NA	12.81	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	52	NA	B	NA	24.30	17	0	15.00	10.25	NA	13.65	NA	Patito	Camille	NA	NA	NA	NA	NA	NA						
