site	species	year	date	individual	subindividual	patch	period	height_cm	flowers_open	flowers_bud	corolla_height_mm	lip_width_mm	flower_size_mm	spur_length_mm	spur_width_mm	recorder	writer	notes	fruit_number	fruits_small	fruit_notes	Flower_damage	Spur_damage						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	49	NA	C	NA	13.70	1	17	8.93	7.52	NA	8.78	NA	JS	KK	NA	NA	NA	NA	1_bud_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	50	NA	C	NA	9.00	1	9	11.77	8.42	NA	7.14	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	51	NA	C	NA	13.90	2	17	9.58	8.52	NA	9.21	NA	JS	KK	NA	1	0	top_eaten	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	52	NA	C	NA	7.40	4	11	11.02	6.98	NA	8.57	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	53	NA	C	NA	9.20	3	7	13.08	7.36	NA	8.07	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	54	NA	C	NA	8.10	5	11	13.17	5.37	NA	6.17	NA	JS	KK	NA	3	1	NA	Lowest_flower_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	27.5.2021	55	NA	C	NA	30.00	7	6	10.29	10.49	NA	7.32	NA	MF	OO	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	56	NA	C	NA	6.80	5	12	13.88	8.57	NA	11.33	NA	JS	KK	NA	5	2	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	57	NA	C	NA	12.30	1	7	10.48	7.19	NA	7.70	NA	JS	KK	NA	NA	NA	NA	Buds_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	58	NA	C	NA	11.30	3	8	10.49	8.72	NA	8.67	NA	JS	KK	NA	NA	NA	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	59	NA	C	NA	24.60	6	11	10.84	7.40	NA	8.13	NA	JS	KK	NA	NA	NA	NA	2_lowest_flowers_damaged	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	60	NA	D	NA	11.60	6	10	13.16	7.83	NA	8.74	NA	JS	KK	NA	2	6	NA	1_damaged_flower	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	61	NA	D	NA	10.90	1	9	10.85	5.94	NA	7.87	NA	JS	KK	NA	2	3	NA	2_eaten_flowers	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	62	NA	D	NA	15.10	1	15	10.07	6.87	NA	7.93	NA	JS	KK	NA	4	6	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	63	NA	D	NA	12.00	1	15	13.01	9.09	NA	9.57	NA	JS	KK	NA	6	10	NA	Damaged_flowers	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	64	NA	D	NA	20.10	9	5	15.67	6.76	NA	10.79	NA	JS	KK	NA	3	5	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	65	NA	D	NA	19.80	4	9	14.54	7.50	NA	10.16	NA	JS	KK	NA	4	3	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	66	NA	D	NA	22.20	7	5	16.46	6.76	NA	8.22	NA	JS	KK	NA	2	7	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	67	NA	D	NA	11.70	2	10	8.05	6.31	NA	8.11	NA	JS	KK	NA	0	5	NA	3_flowers_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	68	NA	D	NA	25.30	14	3	11.85	9.89	NA	8.77	NA	JS	KK	NA	3	11	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	69	NA	D	NA	19.30	5	9	12.90	9.83	NA	8.99	NA	JS	KK	NA	8	4	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	70	NA	D	NA	31.60	17	7	15.76	7.13	NA	8.27	NA	JS	KK	NA	18	0	1_fruit_eaten	Lowest_flower_eaten	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	71	NA	D	NA	7.90	4	12	14.65	8.54	NA	10.51	NA	JS	KK	NA	3	5	NA	NA	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	72	NA	D	NA	13.30	10	4	16.33	10.37	NA	9.09	NA	JS	KK	NA	11	0	NA	Damaged_flowers	NA						
Knivsaasen	Dactylorhiza_majalis	2021	19.5.2021	73	NA	D	NA	16.90	2	10	13.36	6.32	NA	10.16	NA	JS	KK	NA	5	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	1	NA	A	NA	12.60	4	5	9.92	7.58	NA	8.96	NA	SC_VJ	SC_VJ	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	2	NA	A	NA	9.20	6	0	8.01	3.71	NA	6.11	NA	SC_VJ	SC	flower_damage	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	3	NA	A	NA	13.10	3	11	7.51	8.70	NA	7.58	NA	SC_VJ	SC	NA	0	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	4	NA	A	NA	15.40	10	10	14.13	9.10	NA	10.94	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	5	a	A	NA	13.70	11	9	10.57	7.16	NA	8.51	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	5	b	A	NA	13.70	3	1	10.43	7.57	NA	8.43	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	6	NA	A	NA	6.60	8	3	6.62	6.02	NA	7.08	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	7	NA	A	NA	13.80	8	2	10.58	8.08	NA	9.46	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	8	NA	A	NA	22.60	6	5	13.16	7.35	NA	9.35	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	9	NA	A	NA	22.60	7	3	7.19	4.58	NA	9.29	NA	SC_VJ	SC	flower_damage	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	10	NA	A	NA	8.40	4	10	11.08	9.45	NA	8.60	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	11	NA	A	NA	8.00	8	4	9.71	8.88	NA	6.77	NA	SC_VJ	SC	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	12	NA	A	NA	5.20	2	4	10.59	7.88	NA	8.19	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	13	NA	A	NA	74.00	2	9	9.57	6.16	NA	8.33	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	14	NA	A	NA	6.90	5	5	9.04	7.01	NA	6.68	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	15	NA	A	NA	16.60	5	13	10.49	8.36	NA	7.91	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	16	NA	A	NA	12.20	6	13	8.74	8.52	NA	9.64	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	17	NA	A	NA	11.00	7	22	8.77	8.72	NA	7.88	NA	SC_VJ	SC	NA	8	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	18	NA	A	NA	8.50	13	6	8.45	10.57	NA	7.47	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	19	NA	A	NA	10.50	8	0	9.98	7.94	NA	7.17	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	20	NA	A	NA	9.50	5	11	8.42	5.63	NA	8.87	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	21	NA	A	NA	12.00	6	18	10.32	8.74	NA	7.97	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	22	NA	A	NA	8.40	3	11	10.28	7.98	NA	7.00	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	23	NA	A	NA	11.70	2	14	7.66	8.14	NA	8.16	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	24	NA	A	NA	9.50	5	4	10.74	10.84	NA	9.02	NA	SC_VJ	SC	white_flower	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	25	NA	B	NA	20.40	21	17	6.96	10.30	NA	8.51	NA	SC_VJ	SC	NA	5	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	26	NA	B	NA	15.30	16	3	8.24	9.82	NA	8.17	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	27	NA	B	NA	12.00	6	13	8.65	7.94	NA	8.84	NA	SC_VJ	SC	NA	0	10	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	28	NA	B	NA	5.90	1	9	7.58	6.69	NA	5.87	NA	SC_VJ	SC	NA	0	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	29	NA	B	NA	12.30	3	20	6.94	9.67	NA	7.65	NA	SC_VJ	SC	NA	5	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	30	NA	B	NA	6.00	2	7	9.46	8.71	NA	6.86	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	31	NA	B	NA	10.10	6	11	8.60	9.69	NA	8.63	NA	SC_VJ	SC	NA	0	0	eaten	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	32	NA	B	NA	13.10	12	14	8.91	9.16	NA	9.39	NA	SC_VJ	SC	NA	0	4	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	33	NA	B	NA	11.60	7	10	8.21	8.19	NA	9.39	NA	SC_VJ	SC	NA	0	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	34	NA	B	NA	11.30	19	2	11.36	8.68	NA	7.85	NA	SC_VJ	SC	NA	4	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	35	NA	B	NA	11.80	6	21	9.50	7.86	NA	9.97	NA	SC_VJ	SC	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	36	NA	B	NA	11.30	10	13	8.98	9.21	NA	8.33	NA	SC_VJ	SC	NA	1	10	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	37	NA	B	NA	10.50	3	5	7.89	8.08	NA	8.62	NA	SC_VJ	SC	NA	0	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	38	NA	B	NA	12.40	9	7	11.05	9.09	NA	8.74	NA	SC_VJ	SC	NA	3	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	39	NA	B	NA	9.90	5	15	10.75	8.62	NA	8.22	NA	SC_VJ	SC	NA	4	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	40	NA	B	NA	9.00	8	13	8.54	8.37	NA	10.23	NA	SC_VJ	SC	NA	0	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	41	NA	B	NA	15.40	6	9	10.11	9.68	NA	10.00	NA	SC_VJ	SC	NA	4	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	42	NA	B	NA	11.40	8	11	8.87	9.06	NA	8.61	NA	SC_VJ	SC	NA	0	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	43	NA	B	NA	10.30	3	12	9.96	8.06	NA	8.61	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	44	NA	B	NA	12.70	10	16	9.30	10.84	NA	10.82	NA	SC_VJ	SC	NA	5	7	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	45	NA	B	NA	17.60	12	24	8.85	11.09	NA	10.38	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	46	NA	B	NA	15.70	6	18	9.14	8.78	NA	9.76	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	47	NA	B	NA	12.70	12	11	10.01	7.39	NA	9.80	NA	SC_VJ	SC	NA	3	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	48	NA	B	NA	11.00	3	17	13.23	7.46	NA	9.73	NA	SC_VJ	SC	NA	5	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	49	NA	B	NA	15.70	2	16	10.61	7.86	NA	9.24	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	50	NA	B	NA	17.10	6	16	11.29	7.76	NA	10.46	NA	SC_VJ	SC	NA	2	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	51	NA	C	NA	8.80	3	8	8.68	8.46	NA	8.09	NA	SC_VJ	SC	NA	7	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	52	NA	C	NA	8.00	3	16	9.96	10.60	NA	9.44	NA	SC_VJ	SC	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	53	NA	C	NA	10.50	2	18	10.25	7.82	NA	9.50	NA	SC_VJ	SC	NA	3	4	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	54	NA	C	NA	70.00	2	7	9.74	9.71	NA	10.29	NA	SC_VJ	SC	NA	0	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	55	NA	C	NA	8.30	5	10	9.21	4.84	NA	8.39	NA	SC_VJ	SC	flower_damage	1	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	56	NA	C	NA	10.80	6	17	8.89	9.14	NA	7.15	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	57	NA	C	NA	13.40	8	14	8.45	10.10	NA	8.73	NA	SC_VJ	SC	NA	5	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	58	NA	C	NA	10.40	2	15	9.61	8.35	NA	8.26	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	59	NA	C	NA	15.10	6	6	11.44	9.25	NA	8.16	NA	SC_VJ	SC	NA	2	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	60	NA	C	NA	10.70	18	3	10.33	8.69	NA	10.25	NA	SC_VJ	SC	NA	1	8	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	61	NA	C	NA	15.30	5	27	11.14	7.99	NA	7.67	NA	SC_VJ	SC	NA	3	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	62	NA	C	NA	11.50	11	11	10.03	10.50	NA	10.13	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	63	NA	C	NA	10.70	8	16	10.95	9.15	NA	10.63	NA	SC_VJ	SC	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	64	NA	C	NA	14.00	12	4	10.21	5.23	NA	7.59	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	65	NA	C	NA	14.00	7	20	11.77	11.50	NA	10.65	NA	SC_VJ	SC	NA	5	7	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	66	a	C	NA	10.50	14	0	10.86	6.06	NA	8.95	NA	SC_VJ	SC	NA	0	0	taller	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	66	b	C	NA	10.30	10	3	10.09	8.48	NA	7.18	NA	SC_VJ	SC	NA	2	0	shorter	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	67	NA	C	NA	12.30	11	8	10.74	9.29	NA	8.00	NA	SC_VJ	SC	NA	3	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	68	NA	C	NA	11.00	2	12	9.54	10.53	NA	9.67	NA	SC_VJ	SC	NA	6	4	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	69	NA	C	NA	15.80	8	8	18.87	7.60	NA	9.43	NA	SC_VJ	SC	NA	0	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	70	NA	C	NA	16.40	5	14	9.50	10.95	NA	10.02	NA	SC_VJ	SC	NA	2	11	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	71	NA	C	NA	13.00	8	20	9.28	7.77	NA	7.75	NA	SC_VJ	SC	NA	2	5	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	72	NA	C	NA	10.50	9	0	12.32	9.93	NA	10.26	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	73	NA	C	NA	13.50	3	18	9.11	11.08	NA	7.30	NA	SC_VJ	SC	NA	8	4	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	74	NA	C	NA	23.40	9	18	10.42	10.51	NA	10.13	NA	SC_VJ	SC	NA	16	8	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	75	NA	C	NA	15.60	3	12	9.10	7.56	NA	8.21	NA	SC_VJ	SC	NA	2	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	76	NA	C	NA	11.00	15	11	8.68	8.54	NA	9.37	NA	SC_VJ	SC	NA	2	10	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	77	NA	C	NA	89.00	4	11	9.61	11.03	NA	12.24	NA	SC_VJ	SC	NA	2	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	78	NA	C	NA	13.80	12	12	10.50	10.88	NA	10.37	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	79	NA	D	NA	17.70	14	4	10.16	7.98	NA	9.61	NA	SC_VJ	SC	NA	6	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	80	NA	D	NA	17.40	12	2	9.02	10.52	NA	9.67	NA	SC_VJ	SC	NA	4	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	81	NA	D	NA	13.00	8	4	7.92	9.90	NA	8.33	NA	SC_VJ	SC	NA	1	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	82	NA	D	NA	19.90	18	3	10.10	8.06	NA	8.91	NA	SC_VJ	SC	NA	7	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	83	NA	D	NA	17.00	11	10	10.81	10.34	NA	9.15	NA	SC_VJ	SC	NA	8	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	84	NA	D	NA	21.30	13	3	9.61	7.85	NA	9.91	NA	SC_VJ	SC	NA	3	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	85	NA	D	NA	18.20	12	10	13.18	13.92	NA	10.03	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	86	NA	D	NA	16.20	2	10	9.78	8.57	NA	10.14	NA	SC_VJ	SC	NA	0	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	87	NA	D	NA	23.60	9	2	10.59	8.31	NA	9.30	NA	SC_VJ	SC	NA	4	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	88	NA	D	NA	20.10	14	18	12.32	11.62	NA	8.55	NA	SC_VJ	SC	NA	5	8	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	89	NA	D	NA	11.10	10	5	10.15	9.96	NA	8.07	NA	SC_VJ	SC	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	90	NA	D	NA	23.20	17	1	10.26	8.89	NA	9.80	NA	SC_VJ	SC	NA	7	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	91	NA	D	NA	25.00	14	0	10.85	11.92	NA	11.47	NA	SC_VJ	SC	NA	4	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	92	NA	D	NA	12.90	12	0	12.89	8.98	NA	10.18	NA	SC_VJ	SC	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	93	NA	D	NA	19.40	14	7	11.67	8.93	NA	11.02	NA	SC_VJ	SC	NA	3	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	94	NA	D	NA	16.90	4	10	10.07	10.02	NA	10.45	NA	SC_VJ	SC	NA	0	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	95	NA	D	NA	16.00	7	5	12.88	10.24	NA	6.30	NA	SC_VJ	SC	NA	0	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	96	NA	D	NA	16.00	10	5	11.96	12.34	NA	8.94	NA	SC_VJ	SC	NA	4	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	97	NA	D	NA	16.40	6	5	12.04	11.44	NA	8.22	NA	SC_VJ	SC	NA	0	4	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	98	NA	D	NA	13.60	10	3	10.51	6.38	NA	6.60	NA	SC_VJ	SC	flower_damaged	1	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	99	NA	D	NA	12.2	9	10	9.5	10.11	NA	8.4	NA	SC_VJ	SC_VJ	NA	2	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	100	NA	D	NA	17.2	7	8	10.56	9.9	NA	8.08	NA	SC_VJ	SC_VJ	NA	NA	NA	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	101	NA	D	NA	21.2	6	6	10.56	4.75	NA	9.79	NA	SC_VJ	SC_VJ	Flower_damage	2	3	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	102	NA	D	NA	21.8	6	7	11.47	10.55	NA	9.78	NA	SC_VJ	SC_VJ	NA	3	4	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	103	NA	D	NA	25.5	5	7	11.33	10.01	NA	8.54	NA	SC_VJ	SC_VJ	NA	6	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	104	NA	D	NA	16.8	8	6	9.69	9.27	NA	9.48	NA	SC_VJ	SC_VJ	NA	1	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	105	NA	D	NA	13.1	6	8	12.24	9.89	NA	8.68	NA	SC_VJ	SC_VJ	NA	0	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	106	NA	D	NA	24.6	14	12	9.91	9.38	NA	8.26	NA	SC_VJ	SC_VJ	NA	2	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	107	NA	D	NA	20.5	8	11	11.38	12.12	NA	10.06	NA	SC_VJ	SC_VJ	NA	4	7	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	108	NA	D	NA	20.00	15	4	11.22	11.78	NA	8.74	NA	SC_VJ	SC_VJ	NA	4	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	109	a	D	NA	20.4	6	14	9.45	9.9	NA	8.58	NA	SC_VJ	SC_VJ	NA	15	0	taller	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	109	b	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	shorter	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	110	NA	D	NA	21.4	9	3	11.28	10.76	NA	7.92	NA	SC_VJ	SC_VJ	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	111	NA	D	NA	22.2	11	13	11.55	9.87	NA	7.72	NA	SC_VJ	SC_VJ	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	112	NA	D	NA	21.6	12	8	11.19	10.62	NA	8.68	NA	SC_VJ	SC_VJ	NA	7	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	113	NA	D	NA	13.6	7	7	11.29	9.84	NA	10.19	NA	SC_VJ	SC_VJ	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	114	NA	D	NA	17.00	5	15	12.08	9.73	NA	13.35	NA	SC_VJ	SC_VJ	NA	1	11	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	115	NA	D	NA	19.1	4	11	11.01	7.74	NA	8.5	NA	SC_VJ	SC_VJ	NA	0	2	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	116	NA	D	NA	11.00	9	8	9.31	12.36	NA	9.41	NA	SC_VJ	SC_VJ	NA	1	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	117	NA	D	NA	20.6	23	6	10.46	10.5	NA	10.07	NA	SC_VJ	SC_VJ	NA	1	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	118	NA	D	NA	14.8	8	6	10.78	10.16	NA	11.1	NA	SC_VJ	SC_VJ	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	119	NA	D	NA	19.5	6	8	10.92	8.56	NA	10.00	NA	SC_VJ	SC_VJ	NA	3	1	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	120	NA	D	NA	18.00	12	4	11.39	12.02	NA	10.71	NA	SC_VJ	SC_VJ	NA	0	0	NA	NA	NA						
Oerup	Dactylorhiza_majalis	2021	19.5.2021	121	NA	D	NA	17.4	6	7	11.61	9.55	NA	8.64	NA	SC_VJ	SC_VJ	NA	0	2	NA	NA	NA						
